LT,MT,RT,LM,MM,RM,LB,MB,RB,Result
x,x,x,x,0,0,0,x,0,positive
x,x,x,x,0,0,0,0,x,positive
x,x,x,x,0,0,0,b,b,positive
x,x,x,x,0,0,b,0,b,positive
x,x,x,x,0,0,b,b,0,positive
x,x,x,x,0,b,0,0,b,positive
x,x,x,x,0,b,0,b,0,positive
x,x,x,x,0,b,b,0,0,positive
x,x,x,x,b,0,0,0,b,positive
x,x,x,x,b,0,0,b,0,positive
x,x,x,x,b,0,b,0,0,positive
x,x,x,0,x,0,x,0,0,positive
x,x,x,0,x,0,0,x,0,positive
x,x,x,0,x,0,0,0,x,positive
x,x,x,0,x,0,0,b,b,positive
x,x,x,0,x,0,b,0,b,positive
x,x,x,0,x,0,b,b,0,positive
x,x,x,0,x,b,0,0,b,positive
x,x,x,0,x,b,0,b,0,positive
x,x,x,0,x,b,b,0,0,positive
x,x,x,0,0,x,x,0,0,positive
x,x,x,0,0,x,0,x,0,positive
x,x,x,0,0,x,0,0,x,positive
x,x,x,0,0,x,0,b,b,positive
x,x,x,0,0,x,b,0,b,positive
x,x,x,0,0,x,b,b,0,positive
x,x,x,0,0,b,x,0,b,positive
x,x,x,0,0,b,x,b,0,positive
x,x,x,0,0,b,0,x,b,positive
x,x,x,0,0,b,0,b,x,positive
x,x,x,0,0,b,b,x,0,positive
x,x,x,0,0,b,b,0,x,positive
x,x,x,0,0,b,b,b,b,positive
x,x,x,0,b,x,0,0,b,positive
x,x,x,0,b,x,0,b,0,positive
x,x,x,0,b,x,b,0,0,positive
x,x,x,0,b,0,x,0,b,positive
x,x,x,0,b,0,x,b,0,positive
x,x,x,0,b,0,0,x,b,positive
x,x,x,0,b,0,0,b,x,positive
x,x,x,0,b,0,b,x,0,positive
x,x,x,0,b,0,b,0,x,positive
x,x,x,0,b,0,b,b,b,positive
x,x,x,0,b,b,x,0,0,positive
x,x,x,0,b,b,0,x,0,positive
x,x,x,0,b,b,0,0,x,positive
x,x,x,0,b,b,0,b,b,positive
x,x,x,0,b,b,b,0,b,positive
x,x,x,0,b,b,b,b,0,positive
x,x,x,b,x,0,0,0,b,positive
x,x,x,b,x,0,0,b,0,positive
x,x,x,b,x,0,b,0,0,positive
